@relation other_shit

@attribute SO numeric
@attribute WAR numeric
@attribute G numeric
@attribute CG numeric
@attribute SHO numeric
@attribute W numeric
@attribute L numeric
@attribute W-L(Percent) numeric
@attribute SV numeric
@attribute IP numeric
@attribute ERA numeric
@attribute FIP numeric
@attribute HoF {0,1}

@data
1969,43.5,506,61,28,211,146,0.591,8,3092,3.47,3.71,0
1955,14.9,430,47,11,142,157,0.475,0,2465,4.83,4.42,0
1942,40.5,716,53,9,171,182,0.484,32,3016.2,3.84,3.9,0
1907,33.1,628,127,39,220,191,0.535,11,3669.2,3.64,3.45,0
1844,47.4,421,74,16,176,150,0.54,0,2836.1,3.73,3.81,0
1778,47.9,368,95,26,170,91,0.651,4,2392,3.29,3.27,0
1766,21.6,445,21,6,166,136,0.55,1,2648.1,4.31,3.85,0
1760,20.8,535,87,24,152,156,0.494,12,2622,3.46,3.38,0
1747,28.7,702,107,29,221,204,0.52,16,3584.1,3.59,3.79,0
1743,31.4,307,25,9,114,96,0.543,1,1866.2,3.36,3.52,0
1741,26.1,523,55,9,168,129,0.566,19,2629.2,3.95,4.06,0
1735,42.5,451,68,11,151,164,0.479,0,2725,3.73,3.91,0
1728,25,484,94,18,142,135,0.513,7,2569.1,3.7,3.65,0
1727,26,474,42,14,142,158,0.473,5,2487.2,4.11,3.96,0
1723,26.7,431,62,16,134,143,0.484,0,2388,4.06,4,0
1715,59.1,399,76,16,167,117,0.588,1,2562.2,3.34,3.27,0
1703,24.8,397,78,20,120,95,0.558,21,1926,3.07,2.76,0
1689,35,379,83,23,145,113,0.562,0,2417.1,3.92,3.73,0
1679,31.2,457,72,18,171,139,0.552,6,2697.2,4.08,3.93,0
1673,40.1,600,54,13,177,122,0.592,29,2525.2,3.33,3.41,0
1669,57,443,103,30,176,137,0.562,3,2895.1,3.44,3.82,0
1668,20.5,359,28,9,133,119,0.528,0,2165.1,4.12,4.24,0
1667,28.2,450,79,16,161,176,0.478,2,2831.2,4.39,4.27,0
1647,32.1,506,138,30,188,181,0.509,0,3127.1,3.69,3.41,0
1639,22.5,405,73,24,123,107,0.535,3,2268.1,3.22,3.37,0
1627,29.8,451,172,36,185,130,0.587,11,2804,3.12,3.28,0
1625,37.4,344,98,27,130,99,0.568,14,2230.1,2.86,3.28,0
1621,45.3,399,129,37,158,152,0.51,2,2837.2,3.17,3.2,0
1611,29.6,472,43,14,163,143,0.533,5,2561.2,3.84,3.83,0
1606,35,376,22,4,116,91,0.56,3,1880,3.24,3.28,0
1601,27.1,451,127,31,174,150,0.537,3,2867.1,3.49,3.57,0
1594,27.8,398,53,21,155,134,0.536,0,2535,3.73,3.82,0
1594,17.5,415,21,7,86,119,0.42,6,1897.1,3.76,3.61,0
1591,37.3,516,140,40,196,194,0.503,1,3400.2,3.27,3.35,0
1590,19,382,37,13,136,116,0.54,0,2360.1,3.87,4.03,0
1587,21.1,372,25,6,138,121,0.533,1,2191.2,4.28,4.24,0
1587,18.4,625,68,27,141,155,0.476,58,2411.1,3.77,3.44,0
