@relation other_shit

@attribute SO numeric
@attribute WAR numeric
@attribute G numeric
@attribute CG numeric
@attribute SHO numeric
@attribute W numeric
@attribute L numeric
@attribute W-L(Percent) numeric
@attribute SV numeric
@attribute IP numeric
@attribute ERA numeric
@attribute FIP numeric
@attribute HoF {0,1}

@data
759,3.4,418,3,0,60,86,0.411,4,1274,5.04,4.67,0
758,13.7,699,0,0,40,39,0.506,49,995.1,3.15,3.01,0
758,3.4,202,49,11,74,69,0.517,0,1258.1,3.78,3.78,0
757,11.3,306,29,10,82,85,0.491,2,1591,3.67,3.63,0
755,13.6,249,42,8,85,73,0.538,3,1284,3.58,3.32,0
750,6.5,345,79,15,124,99,0.556,3,2039.1,3.81,3.99,0
748,7.1,504,18,4,69,68,0.504,10,1317,3.74,3.99,0
748,10.9,212,10,4,64,59,0.52,2,1085,3.78,3.58,0
745,16.1,381,0,0,52,43,0.547,120,693.2,3.13,3.03,0
741,30.6,454,64,20,101,112,0.474,12,2065.1,3.56,3.64,0
739,9.6,665,6,3,64,46,0.582,9,1011.2,3.91,4.41,0
739,8.1,334,24,6,50,68,0.424,44,1075.2,3.89,3.88,0
735,18.9,305,73,19,100,123,0.448,2,1933,3.42,3.56,0
734,18,193,39,11,70,60,0.538,3,1094.1,3.66,3.53,0
733,20.6,700,0,0,46,52,0.469,304,868.2,3.27,3.59,0
731,6.3,240,41,6,76,86,0.469,2,1356.1,4.58,4.3,0
728,11.5,615,0,0,43,46,0.483,172,859.1,3.39,4.23,0
728,7.8,219,15,3,74,71,0.51,0,1246.1,4.61,4.46,0
727,11.7,195,49,11,75,67,0.528,5,1132.1,3.91,3.8,0
726,9,339,4,2,60,47,0.561,21,961.2,3.78,3.68,0
725,18,841,1,1,68,78,0.466,21,1255.2,3.83,3.98,0
725,6.3,201,29,11,56,52,0.519,6,1030,3.33,3.63,0
725,5.9,295,54,14,67,99,0.404,10,1371.1,3.94,3.52,0
723,10.9,291,12,4,82,83,0.497,1,1547,4.74,5.06,0
723,10.6,278,21,5,74,75,0.497,8,1298,3.64,3.76,0
722,12.1,368,20,4,50,67,0.427,32,1041.2,3.62,3.69,0
721,2.1,321,21,5,68,91,0.428,21,1283.2,4,4.02,0
720,9.6,304,34,11,62,63,0.496,6,1238.2,3.57,3.83,0
719,9.4,696,1,0,58,72,0.446,101,1145.2,3.43,3.79,0
718,11,359,32,8,62,61,0.504,21,1216,3.56,3.76,0
713,21.4,416,72,10,119,90,0.569,19,1944.1,3.62,3.91,0
711,-0.5,359,2,1,40,52,0.435,4,907,5.58,5.16,0
709,6.3,256,36,11,67,77,0.465,3,1300.1,3.61,3.68,0
707,11.6,192,36,13,55,66,0.455,1,1063,3.62,3.34,0
706,3,280,27,10,84,91,0.48,0,1558.1,4.22,4.38,0
706,14.4,300,40,10,72,74,0.493,28,1254.1,3.47,3.48,0
705,20.7,304,79,20,111,109,0.505,1,1849,3.74,3.86,0
705,11.7,534,20,1,96,77,0.555,91,1304.2,3.8,3.86,0
703,9.7,352,9,4,69,53,0.566,48,959.1,3.29,3.65,0
701,10.3,698,12,1,68,57,0.544,52,1158.2,3.81,4.07,0
701,7.6,564,5,3,68,69,0.496,70,1160,4,3.89,0
700,8.9,239,25,10,72,64,0.529,5,1210,3.53,3.44,0
699,8,382,22,6,80,96,0.455,10,1507,4.37,4.36,0
697,12.5,222,33,11,81,60,0.574,3,1261,3.35,3.51,0
696,17.9,262,33,4,81,90,0.474,2,1482.2,4.16,4.35,0
693,14.9,589,11,2,56,73,0.434,186,1099.2,3.75,3.96,0
693,23.8,637,21,7,115,97,0.542,132,1707,3.64,3.68,0
691,4.5,574,0,0,51,62,0.451,42,869.1,4.17,3.8,0
691,10.9,183,27,10,55,61,0.474,2,1017.2,3.72,3.19,0
689,6.8,584,0,0,55,43,0.561,81,909.1,3.63,3.79,0
689,16.8,333,40,7,61,59,0.508,17,1110,3.19,3.63,0
688,16.3,301,60,8,83,88,0.485,7,1597.1,3.8,3.95,0
687,19,737,0,0,79,74,0.516,178,1174.2,2.79,3.18,0
683,9.1,392,20,4,57,63,0.475,32,1039.1,3.48,3.29,0
681,12.8,244,48,8,98,68,0.59,10,1311.1,3.99,3.76,0
681,12.2,765,1,1,66,74,0.471,143,1092,3.12,3.51,0
681,18.4,731,1,0,96,73,0.568,143,1353.1,2.94,3.24,0
681,9.5,307,11,6,42,54,0.438,31,840.2,3.62,3.4,0
680,9.1,432,8,3,73,60,0.549,60,1213.2,3.99,3.62,0
679,10.3,462,0,0,32,37,0.464,121,666.2,3.28,2.77,0
677,6.7,229,35,3,63,58,0.521,18,1004,4.15,3.9,0
673,12.6,231,25,7,59,72,0.45,2,1235.2,3.74,3.73,0
672,9,509,0,0,37,47,0.44,44,795.2,4.48,4.57,0
671,7.5,304,8,2,54,60,0.474,2,1116,5.19,4.99,0
671,10.8,260,85,10,73,106,0.408,0,1491,4.01,4.07,0
671,9.2,655,1,1,68,63,0.519,64,1213.2,3.29,3.66,0
669,11.8,293,29,7,69,67,0.507,3,1177.1,3.52,3.84,0
668,18,509,1,1,48,45,0.516,132,824.1,3.25,3.63,0
667,11.3,329,67,9,100,111,0.474,3,1728.2,3.5,3.82,0
666,15.1,568,2,0,58,53,0.523,155,844.2,3.34,3.2,0
660,7.3,619,0,0,45,58,0.437,192,691.1,3.65,4.44,0
660,15.2,203,31,7,52,87,0.374,1,1148.2,4.17,3.84,0
659,14.6,317,47,10,79,92,0.462,8,1427,4.25,3.98,0
659,16.2,167,53,7,70,54,0.565,0,1060.2,3.72,3.54,0
658,10.1,270,16,2,59,76,0.437,3,1319.2,4.88,4.9,0
657,8.8,372,10,1,45,49,0.479,13,906,3.65,3.81,0
656,13.3,301,32,9,88,92,0.489,4,1501.1,4.18,3.87,0
656,10,183,25,6,45,63,0.417,1,990.1,3.85,3.23,0
655,7.3,493,6,1,53,64,0.453,28,1080,4.13,4.22,0
654,8.3,311,36,6,68,53,0.562,35,1029,3.56,3.28,0
651,14,416,1,0,53,57,0.482,88,793.1,3.32,3.4,0
651,6,194,27,5,41,43,0.488,7,789,3.95,4.12,0
650,17.6,255,51,13,87,92,0.486,1,1648.2,3.73,3.79,0
650,19.3,222,58,16,76,91,0.455,3,1359.1,3.28,3.11,0
645,9.5,385,0,0,27,25,0.519,89,477,2.98,2.43,0
644,11.2,704,0,0,38,45,0.458,286,768,3.3,3.83,0
641,11.9,603,0,0,50,34,0.595,55,712.2,4.36,4.36,0
641,15,448,22,5,66,60,0.524,82,1109.1,3.8,3.85,0
640,5.3,231,12,4,47,71,0.398,1,1025.2,4.55,4.48,0
640,19.3,563,0,0,48,43,0.527,32,885.2,3,3.18,0
639,2.7,301,9,2,68,66,0.507,4,1194.1,4.35,4.18,0
636,8.3,201,52,7,58,59,0.496,0,1124.1,3.89,4.27,0
635,9.3,459,0,0,62,36,0.633,93,910,3.56,4.04,0
635,9.4,278,29,5,68,57,0.544,17,1114.2,3.68,3.75,0
632,3.9,235,2,1,34,45,0.43,5,681.2,4.86,4.32,0
632,8.3,546,0,0,55,42,0.567,115,834,3.45,3.57,0
630,17.7,833,0,0,49,44,0.527,18,870.2,3.63,4.42,0
630,7.3,387,26,5,44,71,0.383,29,1123.1,3.83,3.78,0
629,3.1,454,2,1,46,57,0.447,39,901.1,3.79,3.7,0
628,11.2,617,0,0,50,52,0.49,256,693.2,3.09,3.42,0
627,3.5,177,19,6,40,64,0.385,1,819.1,4.15,3.98,0
625,7,241,33,3,80,54,0.597,10,1172,3.79,3.69,0
622,6.8,558,0,0,40,28,0.588,9,737.1,3.98,4.35,0
622,5.4,585,0,0,41,37,0.526,79,685.1,4.15,4.21,0
621,8.5,439,22,3,68,101,0.402,59,1444,3.78,3.95,0
620,11.5,445,0,0,35,52,0.402,106,667,3.68,3.8,0
619,2.7,170,3,0,40,58,0.408,0,941.2,4.86,4.73,0
617,12.6,605,0,0,36,35,0.507,95,694,3.44,4.01,0
617,18.5,608,0,0,55,47,0.539,149,910.2,2.77,3.44,0
616,5.5,491,0,0,56,43,0.566,22,724.2,3.8,3.74,0
615,9.6,249,18,6,59,67,0.468,5,1078.2,3.66,3.59,0
615,7.9,157,25,8,46,49,0.484,2,902.2,3.56,3.76,0
614,11.2,267,7,3,57,48,0.543,1,901,4.18,4.09,0
611,6.7,434,7,6,58,70,0.453,75,988.1,3.88,3.77,0
610,11.4,363,3,1,38,33,0.535,24,833.1,3.38,3.28,0
608,11.5,188,30,8,51,36,0.586,8,850,3.76,3.37,0
607,5.3,142,13,5,44,55,0.444,0,781.2,4.03,3.36,0
605,13.4,243,10,2,45,64,0.413,16,909.1,3.98,4.12,0
604,8.5,654,0,0,38,30,0.559,17,739.1,3.9,4.07,0
604,8.1,213,29,8,66,50,0.569,6,1010,3.72,3.74,0
601,1.6,256,18,7,40,54,0.426,15,855.2,4.03,3.98,0
600,2.9,199,9,4,47,52,0.475,4,906,4.27,4.38,0
600,-1.1,266,7,2,34,51,0.4,15,779.2,4.56,4.14,0
600,14.5,421,0,0,57,49,0.538,135,731.2,2.72,2.73,0
598,5.1,237,11,6,57,53,0.518,1,963.2,3.86,3.81,0
598,7.6,342,7,3,53,54,0.495,11,921.2,4.11,4.42,0
597,4.9,481,0,0,47,53,0.47,130,746.2,4.05,3.86,0
590,5.9,215,53,7,58,84,0.408,0,1190,4.17,4.5,0
590,5.3,203,24,5,60,57,0.513,5,1020.2,3.89,3.78,0
590,14.4,194,38,10,59,59,0.5,0,1054.2,3.6,3.59,0
589,1.1,206,3,0,51,55,0.481,1,892,5.03,5.12,0
589,9.9,199,49,11,75,53,0.586,8,1127.2,3.46,3.71,0
588,12.8,622,0,0,40,39,0.506,217,672,3.46,3.64,0
586,9.4,359,4,1,59,48,0.551,45,956.2,3.59,4.17,0
586,0.1,183,31,10,52,52,0.5,0,864.2,3.94,3.92,0
584,3.5,468,1,0,32,54,0.372,144,768.1,4.45,4.49,0
584,16.9,745,0,0,79,55,0.59,102,1258.2,3.23,3.66,0
583,4.7,171,41,8,52,61,0.46,1,905.2,4.36,4.18,0
582,4.5,485,0,0,41,35,0.539,76,729.2,3.95,3.94,0
582,12,327,29,12,67,88,0.432,11,1411.1,3.73,3.77,0
582,13.7,221,51,17,71,69,0.507,1,1256.2,3.47,3.57,0
581,7.4,557,0,0,35,33,0.515,59,680,4.25,3.73,0
580,7.2,208,14,3,50,60,0.455,2,1007.2,4.14,4.14,0
579,13.5,422,6,2,79,49,0.617,69,902,2.92,2.94,0
577,10.7,576,0,0,57,39,0.594,95,879,2.75,2.79,0
575,6.2,562,0,0,33,42,0.44,116,628.2,3.99,4.37,0
575,13.6,409,22,5,67,50,0.573,63,1072.1,3.13,3.32,0
572,7.8,182,28,6,43,47,0.478,7,863,3.69,3.78,0
571,15.9,200,63,12,80,67,0.544,1,1309.2,3.51,3.73,0
569,13.6,346,69,10,93,103,0.474,6,1736.1,4.15,3.9,0
569,7.5,206,34,5,60,52,0.536,5,1085.1,3.51,3.81,0
566,7,292,2,1,46,49,0.484,10,911.2,4.54,4.96,0
564,6.9,375,11,1,63,82,0.434,1,1278.1,4.85,5.07,0
564,5.9,472,2,1,39,37,0.513,20,861.2,4.05,3.76,0
564,11.4,190,21,10,57,67,0.46,0,1096.2,3.81,3.96,0
563,4.2,291,13,2,40,48,0.455,11,912.1,4.08,4.08,0
563,9.1,259,37,14,59,75,0.44,7,1164.2,3.55,3.73,0
562,6.6,525,0,0,34,31,0.523,126,667,3.82,3.91,0
562,2.7,463,0,0,40,35,0.533,35,671,3.9,3.89,0
558,5.1,163,4,2,49,46,0.516,0,873.2,4.03,4.15,0
558,4.1,297,8,5,47,58,0.448,4,841.1,4.94,4.78,0
558,14.4,226,28,9,64,57,0.529,10,1062.2,3.13,3.83,0
558,4.2,243,16,7,45,47,0.489,9,825.1,3.64,3.36,0
557,3.8,533,0,0,39,29,0.574,119,553.1,3.97,3.46,0
557,5.7,160,24,6,43,56,0.434,1,858.2,4.47,4.12,0
555,4.8,457,0,0,48,41,0.539,60,704,3.69,3.18,0
555,8.1,208,37,5,66,71,0.482,1,1177.2,4.04,4.2,0
554,12.3,198,8,1,68,62,0.523,1,1079.2,4.74,4.94,0
549,3.2,245,3,1,38,48,0.442,31,613.1,3.95,3.35,0
548,12,609,0,0,53,53,0.5,216,809.1,2.67,3.04,0
548,10.1,545,0,0,64,35,0.646,97,722,3.1,3.39,0
547,9.5,267,4,0,57,51,0.528,4,954,4.46,4.29,0
545,13.8,633,0,0,34,54,0.386,203,848,3.54,4.09,0
545,2.1,201,20,9,46,62,0.426,2,945.1,4.34,4.45,0
542,9.1,250,8,0,53,59,0.473,5,975.2,4.52,4.78,0
541,2.5,582,0,0,34,42,0.447,82,665.2,4.19,4.67,0
541,-1.2,406,0,0,37,44,0.457,59,576,4.78,4.22,0
541,5.4,516,0,0,34,45,0.43,49,754.1,3.93,4.19,0
541,4.2,220,22,7,48,58,0.453,6,986.1,4.29,3.63,0
541,9.5,221,45,7,63,63,0.5,5,1188.1,3.99,4.55,0
540,11,435,0,0,42,44,0.488,103,687.1,3.47,3.95,0
539,6.4,451,4,2,38,32,0.543,14,724.1,3.99,4.15,0
538,9.3,601,0,0,59,51,0.536,83,918,3.32,3.54,0
537,14.1,166,7,4,42,47,0.472,12,753.2,3.96,4.02,0
536,4.2,251,15,3,69,53,0.566,0,1107,4.31,4.64,0
536,6.5,543,5,0,57,71,0.445,92,1086,3.85,3.91,0
536,-0.4,206,26,6,41,71,0.366,1,963,4.56,4.24,0
535,8.5,152,22,8,62,48,0.564,0,923.1,3.54,3.84,0
533,12.9,561,0,0,57,42,0.576,193,732.2,3.21,3.45,0
531,11.2,421,3,1,40,31,0.563,42,663,3.05,2.96,0
528,9.7,172,37,12,49,53,0.48,2,929.2,3.79,4.2,0
526,10.5,131,12,1,47,39,0.547,1,743,4.58,4.65,0
524,9.5,723,0,0,70,70,0.5,159,1050,3.3,3.73,0
522,0.7,237,25,4,39,81,0.325,1,1085.2,4.81,4.58,0
522,2.6,216,25,6,48,52,0.48,13,879.1,3.97,3.98,0
520,5.6,597,0,0,32,38,0.457,30,623.1,3.64,3.52,0
520,9,185,22,6,43,51,0.457,17,809.1,3.94,3.61,0
518,7.7,620,0,0,31,41,0.431,100,716.2,3.86,4.3,0
518,1.7,195,21,5,55,56,0.495,2,970,4.54,4.19,0
517,9.6,291,16,2,35,51,0.407,20,913,3.65,3.33,0
516,6.1,184,7,3,43,54,0.443,0,835.2,4.71,4.5,0
516,2.7,214,26,8,47,53,0.47,3,892.2,4.18,3.91,0
515,5.8,552,0,0,36,33,0.522,33,645.2,3.93,4.62,0
515,2,514,0,0,35,38,0.479,56,700,3.83,3.48,0
513,8.4,178,5,1,54,56,0.491,0,1002,4.81,4.87,0
513,5.6,548,0,0,28,37,0.431,98,631,4.08,4.04,0
513,12,384,0,0,34,30,0.531,78,646,2.98,3.34,0
512,9.8,158,4,2,40,42,0.488,6,700,4.55,4.56,0
512,-3.4,222,16,2,46,51,0.474,5,863.2,4.52,3.86,0
510,2.4,152,4,1,40,65,0.381,0,786.2,4.58,4.53,0
509,3.8,205,23,6,57,56,0.504,1,917,4.02,3.85,0
508,4.2,427,0,0,28,36,0.438,54,652.1,4.19,4.1,0
507,-3.7,253,18,2,60,64,0.484,3,1099.1,4.53,4.18,0
507,7,183,18,2,28,34,0.452,12,692.1,3.48,3.92,0
504,8.4,334,9,3,47,49,0.49,24,971,3.78,3.85,0
503,6.4,363,0,0,29,34,0.46,35,595,3.48,3.73,0
502,2.7,320,1,0,38,51,0.427,7,624,4.62,4.78,0
501,6.2,411,0,0,36,29,0.554,21,488.2,3.68,3.6,0
501,6.1,217,26,6,48,63,0.432,0,1025.1,3.74,4.02,0
498,5.9,139,5,4,45,52,0.464,0,784,4.61,4.73,0
497,-4.6,235,8,1,39,51,0.433,6,860.2,4.59,4.16,0
496,4.5,162,1,0,43,37,0.538,0,720.2,4.92,5.22,0
496,-0.1,180,16,4,28,48,0.368,1,718.1,4.52,4.31,0
496,3.5,446,2,0,46,53,0.465,82,717,3.63,3.53,0
494,6.6,786,0,0,31,32,0.492,27,734.2,4.64,4.16,0
494,0.4,217,4,0,49,63,0.438,1,870.1,5.14,5.02,0
491,10.6,165,27,3,51,58,0.468,1,946,4.14,4.16,0
490,2.1,275,10,4,37,60,0.381,7,890.2,4.28,4.11,0
489,8.4,461,1,1,37,38,0.493,84,629,3.03,3.12,0
489,5.8,238,27,12,50,77,0.394,5,1017.2,3.85,3.77,0
489,-2.2,365,6,2,48,51,0.485,41,770.2,4.31,3.87,0
488,7.6,205,46,10,65,71,0.478,1,1120.2,4.1,4.58,0
487,7.5,135,28,7,40,48,0.455,2,780.1,3.81,4.04,0
485,7.7,316,15,2,51,49,0.51,19,931.1,3.67,3.5,0
484,10.4,125,11,2,37,45,0.451,1,720.1,4.27,4.42,0
484,5.5,248,37,5,62,83,0.428,0,1286,4.39,4.46,0
483,4.6,559,0,0,39,40,0.494,28,617.1,4.08,3.77,0
482,5.4,467,0,0,33,49,0.402,30,904.1,3.97,4.1,0
479,5.6,139,5,3,44,49,0.473,0,753.1,4.75,5.05,0
479,8.7,376,5,3,54,55,0.495,50,902,3.88,3.77,0
479,17,710,0,0,59,65,0.476,150,1130.2,3.1,3.71,0
476,0.8,146,14,4,28,51,0.354,2,665.1,4.1,4.02,0
475,3,186,20,3,36,46,0.439,5,739.1,4.24,4.03,0
474,10.3,484,0,0,36,46,0.439,97,653,3.29,3.6,0
473,8.4,232,8,2,48,39,0.552,19,800,3.63,3.61,0
471,3.6,235,2,1,32,39,0.451,21,553.1,4.28,4.04,0
471,8.7,435,4,0,49,40,0.551,56,764,3.53,4.24,0
471,4.8,351,0,0,34,40,0.459,57,609.1,3.32,3.56,0
471,5.5,292,0,0,32,42,0.432,58,528.1,3.59,3.17,0
471,3.8,179,21,3,30,57,0.345,4,760.2,4.19,4.29,0
466,6.8,316,2,0,32,31,0.508,56,532,3.32,3.33,0
464,3.4,162,3,0,32,36,0.471,0,667.1,4.94,4.29,0
464,5.2,491,3,0,45,43,0.511,74,800,3.93,3.46,0
463,11.6,342,2,2,59,40,0.596,16,797,4.3,4.08,0
463,0.3,141,32,11,34,67,0.337,1,788.2,4.33,3.8,0
462,5.2,151,4,0,45,56,0.446,2,753.1,5.35,4.64,0
462,6.8,411,1,0,38,36,0.514,80,659.2,2.91,3.11,0
461,5.2,119,11,5,38,25,0.603,0,628,4.14,3.93,0
460,9.9,383,0,0,42,35,0.545,98,561.2,2.77,2.88,0
459,6.6,453,0,0,31,29,0.517,53,523.1,3.25,3.55,0
459,9.5,203,8,5,52,45,0.536,16,863.1,3.97,4.11,0
458,6.5,152,19,4,36,44,0.45,0,710,4.17,3.99,0
458,15.7,288,36,11,77,59,0.566,7,1277,3.65,3.75,0
456,6.5,474,0,0,39,32,0.549,15,636,4.12,5.25,0
455,1,196,5,2,39,47,0.453,0,750.1,5.28,4.8,0
455,0.6,277,3,3,36,53,0.404,11,860,4.56,3.98,0
455,5.8,534,0,0,43,52,0.453,96,781.1,3.65,3.66,0
454,6.5,472,0,0,34,26,0.567,17,570.2,4.51,4.51,0
454,7.4,172,38,16,60,52,0.536,0,959.1,3.64,3.54,0
452,-0.5,308,0,0,42,39,0.519,5,709,5.47,5.62,0
452,2.1,160,6,2,29,45,0.392,3,598.2,4.83,4.36,0
452,4.1,228,5,1,27,48,0.36,8,627.2,3.91,3.55,0
451,5.3,335,7,2,48,49,0.495,23,788.2,3.62,3.53,0
450,8,474,0,0,29,35,0.453,12,527,3.77,3.79,0
450,7.6,190,43,7,55,66,0.455,6,1040,3.89,3.93,0
449,2.9,415,0,0,35,43,0.449,29,675.2,4.2,3.92,0
449,1.4,195,12,4,38,56,0.404,1,853.2,4.12,4.2,0
448,5.5,142,17,8,40,53,0.43,0,822.2,4.44,4.61,0
448,12.4,322,0,0,17,25,0.405,177,387,2.49,2.63,0
448,5.4,158,13,5,39,54,0.419,0,862.2,4.2,3.88,0
448,15.8,248,36,7,60,53,0.531,17,1106,3.47,3.99,0
447,11.6,517,0,0,45,43,0.511,33,720.1,3.7,4.39,0
447,7.4,162,3,0,32,47,0.405,0,757.1,4.62,4.81,0
447,3.7,331,11,3,42,37,0.532,16,894.1,3.82,3.75,0
447,10.6,490,3,1,57,52,0.523,103,852.2,3.21,3.67,0
444,12.4,498,0,0,49,33,0.598,102,699.1,2.72,3.46,0
442,3.3,196,8,4,38,52,0.422,1,824.2,5.07,4.61,0
442,5.2,306,0,0,28,31,0.475,39,526.1,3.25,3.76,0
442,-0.9,231,18,5,31,67,0.316,19,715.2,4.41,3.94,0
441,0.2,147,6,0,27,32,0.458,0,533,4.81,4.83,0
441,1.5,316,19,4,40,49,0.449,10,928.1,3.92,3.58,0
440,0.6,151,15,4,35,43,0.449,6,620.2,4.25,3.69,0
438,2.2,276,9,4,41,48,0.461,7,822,3.88,4.25,0
437,2.6,204,2,0,31,38,0.449,3,569.1,4.66,4.6,0
436,6.2,350,0,0,44,33,0.571,52,603,3.45,3.57,0
436,2.1,364,0,0,45,40,0.529,48,653.1,3.38,3.65,0
435,0.2,105,2,2,39,34,0.534,0,564,4.44,5.06,0
435,9.8,125,9,1,45,42,0.517,0,710.1,4.31,4.39,0
434,4.7,250,9,1,38,40,0.487,18,689,3.94,4.16,0
434,3.6,301,4,1,39,41,0.488,31,704,3.85,3.91,0
434,0.2,285,7,3,33,41,0.446,16,711,4.24,3.59,0
434,13,170,47,7,66,46,0.589,5,1011.1,3.52,3.84,0
433,2.1,194,9,3,35,40,0.467,4,620,4.14,3.79,0
432,3.9,356,0,0,26,32,0.448,3,534.2,4.36,4.66,0
431,2.5,169,7,4,41,46,0.471,0,728,3.87,4.15,0
431,5.6,332,0,0,19,32,0.373,39,460.2,3.24,3.63,0
430,1.1,202,17,6,34,60,0.362,4,865.1,4.3,4.22,0
430,4.8,264,7,1,42,36,0.538,32,734,3.89,4.03,0
429,3.9,185,30,3,37,63,0.37,0,913,4.62,4.23,0
428,13,103,9,0,36,43,0.456,0,648.2,4.02,4.41,0
428,0.8,181,1,1,33,39,0.458,2,610.1,4.75,4.57,0
426,4.4,133,4,1,28,51,0.354,1,736.2,4.76,4.33,0
426,1.5,170,9,1,42,48,0.467,3,714,4.54,4.07,0
426,2.5,171,14,3,31,40,0.437,2,653,3.62,3.63,0
425,1.3,141,10,5,47,40,0.54,0,708.2,4.79,4.79,0
424,6.4,161,20,6,37,53,0.411,4,771.1,3.65,3.53,0
423,2.9,512,0,0,36,23,0.61,22,542.1,4.17,4.16,0
418,0.9,331,0,0,32,32,0.5,72,558.1,3.82,3.76,0
417,3.4,414,1,1,40,28,0.588,15,635.2,5.03,4.97,0
417,1.8,100,2,0,32,30,0.516,0,509.2,4.86,5.1,0
416,5.9,416,0,0,43,40,0.518,89,654.2,3.67,3.39,0
416,8.8,335,4,1,32,33,0.492,52,645.2,3.36,3.8,0
416,5.4,221,32,0,30,66,0.313,16,835,4.24,4.26,0
414,5.7,161,7,3,26,43,0.377,0,660.2,5.16,5.19,0
413,0.8,338,0,0,20,22,0.476,16,416.1,4.99,4.36,0
413,5.8,175,16,5,40,39,0.506,9,725.2,3.62,3.87,0
412,10.3,493,0,0,39,34,0.534,98,563,2.99,3.28,0
410,5.3,409,0,0,29,44,0.397,63,669,3.01,3.36,0
410,9.6,170,36,11,58,51,0.532,3,975.1,3.71,3.56,0
409,4.8,593,0,0,69,39,0.639,80,1026.2,3.52,3.41,0
408,5.8,123,6,2,39,39,0.5,0,651.1,4.55,4.9,0
408,5.5,165,11,1,57,50,0.533,1,990,4.05,4.11,0
408,7,323,3,1,41,28,0.594,22,703.2,4.05,3.94,0
408,5.1,294,11,2,38,54,0.413,64,760.1,3.84,4.23,0
408,7.4,168,24,5,47,27,0.635,12,723.1,3.66,4.01,0
408,2.8,134,10,5,23,35,0.397,1,591.2,4.21,4.23,0
408,5.2,164,28,7,43,32,0.573,4,751.2,3.18,3.51,0
408,4.6,172,18,5,49,48,0.505,4,743,3.72,4.02,0
407,7.5,214,9,2,26,33,0.441,9,602.2,3.9,3.91,0
407,13.4,414,5,0,56,49,0.533,57,942.1,3.37,3.98,0
407,6.8,308,1,0,43,30,0.589,25,618,3.61,3.65,0
406,3,385,0,0,33,45,0.423,39,573.2,3.64,3.52,0
405,3.4,126,4,2,34,35,0.493,16,514,5.15,4.97,0
405,6.2,141,4,2,37,35,0.514,0,611.2,3.94,3.89,0
404,8.8,495,0,0,47,45,0.511,124,746,3.28,3.79,0
404,3.8,163,16,3,34,29,0.54,8,556,3.74,3.54,0
403,6.2,179,23,2,41,36,0.532,18,638.2,3.52,3.6,0
401,1.3,115,5,1,29,28,0.509,1,494,4.59,4.47,0
400,3,518,0,0,53,50,0.515,60,902.1,3.85,3.5,0
400,5.1,324,5,2,29,28,0.509,18,589.2,3.34,3.59,0
400,8.3,456,0,0,44,50,0.468,118,609.1,3.21,3.4,0
398,6.6,229,8,2,49,43,0.533,4,861,3.94,4.75,0
397,-4.4,256,2,1,26,38,0.406,6,595.1,5.37,4.91,0
397,6.3,365,2,0,46,35,0.568,21,689.2,3.86,3.9,0
396,4.3,315,0,0,14,18,0.438,93,322.2,4.07,3.92,0
396,5,609,0,0,31,22,0.585,8,640.2,3.81,4.3,0
396,7.2,248,8,2,47,54,0.465,8,940.1,4,3.9,0
395,2.5,261,0,0,20,24,0.455,2,493.2,4.47,4.34,0
395,0.1,370,0,0,30,43,0.411,75,624,4.3,4.16,0
394,6.3,350,3,1,50,44,0.532,20,769.2,4.44,4.18,0
394,8,450,0,0,48,34,0.585,109,601,3.13,3.29,0
392,-3.3,186,6,4,34,41,0.453,11,642,5.06,4.76,0
392,9.3,109,15,6,37,45,0.451,0,676.2,3.71,3.78,0
391,0.7,110,12,1,32,33,0.492,0,555.2,4.26,4.42,0
390,0.8,136,7,1,23,41,0.359,1,613.2,4.56,4.63,0
387,5.1,143,8,5,39,47,0.453,1,795.2,4.38,4.41,0
387,3.4,180,3,1,29,39,0.426,2,633,4.25,4.33,0
386,5.9,144,4,1,30,47,0.39,1,725.1,4.27,4.24,0
384,3.9,528,0,0,27,26,0.509,16,433.2,4.3,4.04,0
384,-0.3,162,2,2,23,34,0.404,0,524.2,5.32,5.38,0
383,1.9,131,4,0,25,49,0.338,0,655,5.62,4.98,0
383,6.6,221,0,0,35,28,0.556,5,593.2,4.64,4.46,0
382,8.4,207,6,2,34,31,0.523,19,661.2,3.67,3.96,0
382,2.1,233,2,1,22,32,0.407,8,638.2,4.31,4.23,0
381,5.7,144,21,0,46,50,0.479,1,797.2,4.52,4.66,0
381,5.3,179,9,2,30,23,0.566,11,490.2,3.65,3.28,0
380,10.5,339,3,1,32,45,0.416,57,594.1,3.23,3.31,0
379,24.9,674,0,0,56,46,0.549,244,1043.1,2.76,3.24,0
379,4.5,177,25,5,37,60,0.381,4,821.1,4.14,4.1,0
378,2.9,283,8,2,25,47,0.347,7,713.2,3.92,3.69,0
377,2.2,105,5,1,26,28,0.481,6,482.1,4.66,4.62,0
377,3.8,257,13,4,39,55,0.415,10,751,4.07,3.98,0
376,7.8,448,0,0,31,36,0.463,201,568.2,3.43,4.16,0
376,-2.9,153,7,3,43,39,0.524,0,755,4.46,4.09,0
375,4.6,309,19,2,34,55,0.382,54,779,4.11,4.14,0
374,5.2,297,6,1,34,35,0.493,6,848.1,3.79,4.01,0
374,3,148,7,4,32,27,0.542,5,633.2,4.22,4.07,0
372,6.2,348,0,0,26,24,0.52,12,532.1,3.85,3.78,0
372,2.8,176,22,3,51,51,0.5,1,900,4.81,4.9,0
372,-3.5,253,1,0,23,44,0.343,26,490,5.01,4.12,0
